,gene_name,ID,event
723,AP1B1,EE87811,GAIN
724,AP1G1,EE87811,GAIN
725,AP1G2,EE87811,GAIN
726,AP1M1,EE87811,GAIN
727,AP1M2,EE87811,GAIN
728,AP1S1,EE87811,GAIN
729,AP1S2,EE87811,GAIN
730,AP1S3,EE87811,HETD
731,AP2A1,EE87811,HETD
732,AP2A2,EE87811,HETD
733,AP2B1,EE87811,GAIN
734,AP2M1,EE87811,HETD
735,AP2S1,EE87811,GAIN
736,AP3B1,EE87811,GAIN
737,AP3B2,EE87811,GAIN
738,AP3D1,EE87811,HETD
739,AP3M2,EE87811,GAIN
740,AP3S1,EE87811,HETD
741,AP3S2,EE87811,HETD
742,AP4B1,EE87811,GAIN
743,AP4E1,EE87811,GAIN
744,AP4M1,EE87811,GAIN
745,AP4S1,EE87811,GAIN
746,AP5B1,EE87811,GAIN
747,AP5M1,EE87811,HETD
748,AP5S1,EE87811,GAIN
749,AP5Z1,EE87811,GAIN
750,APAF1,EE87811,GAIN
751,APBA1,EE87811,GAIN
752,APBA2,EE87811,GAIN
753,APBA3,EE87811,GAIN
754,APBB1,EE87811,GAIN
755,APBB1IP,EE87811,GAIN
756,APBB2,EE87811,GAIN
757,APBB3,EE87811,GAIN
758,APC,EE87811,GAIN
759,APC2,EE87811,GAIN
760,APCDD1,EE87811,GAIN
761,APCDD1L,EE87811,HETD
762,APCS,EE87811,HETD
763,APEH,EE87811,HETD
764,APELA,EE87811,HETD
765,APEX1,EE87811,GAIN
766,APEX2,EE87811,GAIN
767,APH1A,EE87811,GAIN
768,APH1B,EE87811,HETD
769,API5,EE87811,GAIN
770,APIP,EE87811,GAIN
771,APLF,EE87811,GAIN
772,APLN,EE87811,GAIN
